artsid;artsnavn;klassifikation
5981;Hvidvinget Måge (ssp. glaucoides);SUB
5982;Hvidvinget Måge, Baffinmåge (ssp. kumlieni);SU
5983;Hvidvinget Måge, Inuitmåge (ssp. thayeri);SU
20;Rødstrubet Lom;Alm
40;Islom;SUB
50;Hvidnæbbet Lom;SUB
33;Stillehavslom;SU
30;Sortstrubet Lom;Alm
140;Sortbrynet Albatros;SU
500;Wilsons Stormsvale;SU
520;Lille Stormsvale;SUB
550;Stor Stormsvale;SUB
220;Mallemuk;Alm
361;Scopolis Skråpe;SU
362;Atlantisk Skråpe;SU
430;Sodfarvet Skråpe;SUB
400;Storskråpe;SU
460;Almindelig Skråpe;SUB
462;Middelhavsskråpe;SU
455;Middelhavsskråpe, Balearisk (ssp. mauretanicus);SU
490;Tropeskråpe;SU
1310;Sort Stork;SUB
1340;Hvid Stork;Alm
930;Pragtfregatfugl;SU
710;Sule;Alm
700;Brun Sule;SU
820;Dværgskarv;SU
800;Topskarv;SUB
720;Skarv;Alm
721;Skarv, Storskarv (ssp. carbo);Alm
722;Skarv, Mellemskarv (ssp. sinensis);Alm
1360;Sort Ibis;SUB
1370;[Eremitibis];Alm
34130;[Afrikansk Skestork];Alm
1440;Skestork;Alm
1420;[Hellig Ibis];Alm
880;[Hvid Pelikan];Alm
900;[Rosapelikan];Alm
890;Krøltoppet Pelikan;SU
950;Rørdrum;Alm
960;Amerikansk Rørdrum;SU
980;Dværghejre;SU
1190;Silkehejre;SUB
1040;Nathejre;SU
1080;Tophejre;SU
1210;Sølvhejre;Alm
1110;Kohejre;SUB
1240;Purpurhejre;SU
1220;Fiskehejre;Alm
7780;Natravn;Alm
7810;Ørkennatravn;SU
7920;Tornhalesejler;SU
7980;Alpesejler;SU
7970;Orientsejler;SU
7990;Kaffersejler;SU
8000;Lille Sejler;SU
7950;Mursejler;Alm
7960;Gråsejler;SU
7350;Slørugle;Alm
7351;Slørugle, Hvidbrystet (ssp. alba);SU
7352;Slørugle, Mørkbrystet (ssp. guttata);Alm
7700;Perleugle;SUB
7570;Kirkeugle;SUB
7500;Høgeugle;SU
7510;Spurveugle;SU
7390;Dværghornugle;SU
7680;Mosehornugle;Alm
7670;Skovhornugle;Alm
7490;Sneugle;SU
7440;Stor Hornugle;Alm
7610;Natugle;Alm
2270;[Kalkungrib];Alm
3010;Fiskeørn;Alm
2350;Blå Glente;SU
2460;[Lammegrib];Alm
2470;Ådselgrib;SU
2310;Hvepsevåge;Alm
2320;Tophvepsevåge;SU
2550;[Munkegrib];Alm
2510;Gåsegrib;SU
2530;[Rüppells Grib];Alm
2560;Slangeørn;SU
2930;Stor Skrigeørn;SU
2920;Lille Skrigeørn;SUB
2980;Dværgørn;SU
2945;Steppeørn;SU
2950;Kejserørn;SU
2960;Kongeørn;SUB
2990;Høgeørn;SU
2690;Spurvehøg;Alm
2670;Duehøg;Alm
2672;Duehøg, Russisk (ssp. buteoides);SU
2620;Steppehøg;SUB
2610;Blå Kærhøg;Alm
2615;Amerikansk Kærhøg;SU
2630;Hedehøg;Alm
2600;Rørhøg;Alm
2390;Rød Glente;Alm
2380;Sort Glente;SUB
2382;[Sort Glente, Gulnæbbet (ssp. parasitus)];Alm
2450;[Beringhavørn];Alm
2430;Havørn;Alm
2440;[Hvidhovedet Havørn];Alm
2900;Fjeldvåge;Alm
2870;Musvåge;Alm
2872;Musvåge, Steppevåge (ssp. vulpinus);SU
2880;Ørnevåge;SU
8460;Hærfugl;SUB
8410;Ellekrage;SU
8400;Biæder;SUB
8390;Grøn Biæder;SU
8310;Isfugl;Alm
8480;Vendehals;Alm
8560;Grønspætte;Alm
8630;Sortspætte;Alm
8500;Guldspætte;SU
8980;Tretået Spætte;SU
8830;Mellemflagspætte;SUB
8760;Stor Flagspætte;Alm
8761;Stor Flagspætte, Nordlig (ssp. major);Alm
8764;Stor Flagspætte, Sydlig (ssp. pinetorum);Alm
8870;Lille Flagspætte;Alm
8871;Lille Flagspætte, Nordlig (ssp. minor);Alm
8876;Lille Flagspætte, Sydlig (ssp. hortorum);Alm
3030;Lille Tårnfalk;SU
3040;Tårnfalk;Alm
3050;Amerikansk Tårnfalk;SU
3070;Aftenfalk;SUB
3090;Dværgfalk;Alm
3110;Eleonorafalk;SU
3100;Lærkefalk;Alm
3200;Vandrefalk;Alm
3205;Vandrefalk, Sibirisk (ssp. calidus);SU
3140;[Lannerfalk];Alm
3180;Jagtfalk;SU
3160;Slagfalk;SU
40010;[Nymfeparakit];Alm
7085;[Munkeparakit];Alm
7087;[Soldaterara];Alm
7135;[Stor Alexanderparakit];Alm
7120;[Alexanderparakit];Alm
40000;[Undulat];Alm
16330;Rødøjet Vireo;SU
15080;Pirol;SUB
15200;Stor Tornskade;Alm
15195;Stor Tornskade, Ørkentornskade (ssp. pallidirostris);SU
15190;Rosenbrystet Tornskade;SU
15230;Rødhovedet Tornskade;SU
15150;Rødrygget Tornskade;Alm
15140;Turkestantornskade;SU
15170;Langhalet Tornskade;SU
15130;Brun Tornskade;SU
15470;[Iberisk Blåskade];Alm
15390;Skovskade;Alm
15490;Husskade;Alm
15570;Nøddekrige;SUB
15571;Nøddekrige, Tyknæbbet (ssp. caryocatactes);SUB
15572;Nøddekrige, Tyndnæbbet (ssp. macrorhynchos);SUB
15610;Sibirisk Allike;SU
15600;Allike;Alm
15601;Allike, Almindelig (ssp. monedula);Alm
15603;Allike, Vestlig (ssp. spermologus);Alm
15602;Allike, Halsbåndsallike (ssp. soemmerringii);SU
15630;Råge;Alm
15700;[Broget Krage];Alm
15720;Ravn;Alm
15670;Krage;Alm
15671;Krage, Sortkrage (ssp. corone);Alm
15673;Krage, Gråkrage (ssp. cornix);Alm
14900;Pungmejse;SUB
14620;Blåmejse;Alm
14640;Musvit;Alm
14610;Sortmejse;Alm
14540;Topmejse;Alm
14400;Sumpmejse;Alm
14420;Fyrremejse;Alm
14423;Fyrremejse, Pilemejse (ssp. salicarius);Alm
14421;Fyrremejse, Nordlig (ssp. borealis);SU
13640;Skægmejse;Alm
9740;Hedelærke;Alm
9760;Sanglærke;Alm
9720;Toplærke;SUB
9780;Bjerglærke;Alm
9680;Korttået Lærke;SU
9620;Østlig Kalanderlærke;SU
12260;Cistussanger;SU
12590;Gulbug;Alm
12600;Spottesanger;SU
12560;Lille Gulbug;SU
12550;Bleg Gulbug;SU
12430;Sivsanger;Alm
12420;Vandsanger;SU
12470;Lille Rørsanger;SU
12480;Buskrørsanger;SUB
12500;Kærsanger;Alm
12510;Rørsanger;Alm
12530;Drosselrørsanger;SUB
12390;Stor Græshoppesanger;SU
12350;Stribet Græshoppesanger;SU
12370;Flodsanger;SUB
12380;Savisanger;SUB
12360;Græshoppesanger;Alm
9810;Digesvale;Alm
9910;Klippesvale;SU
9920;Landsvale;Alm
9923;Landsvale, Libanonlandsvale (ssp. transitiva);SU
10010;Bysvale;Alm
32450;Rødbrystet Svale;SU
9950;Rødrygget Svale;SUB
9951;Amursvale;SU
14370;Halemejse;Alm
14371;Halemejse, Nordlig (ssp. caudatus);Alm
14374;Halemejse, Sydlig (ssp. europaeus);Alm
12200;Cettisanger;SU
13080;Skovsanger;Alm
13070;Bjergløvsanger;SU
13000;Hvidbrynet Løvsanger;SUB
13005;Himalayasanger;SU
12980;Fuglekongesanger;SUB
13010;Schwarz Løvsanger;SU
13050;Sinkiangløvsanger;SU
13030;Brun Løvsanger;SUB
13120;Løvsanger;Alm
13121;Løvsanger, Almindelig (ssp. trochilus);Alm
13122;Løvsanger, Nordlig (ssp. acredula);Alm
13116;Iberisk Gransanger;SU
13110;Gransanger;Alm
13114;Gransanger, Skandinavisk (ssp. abietinus);Alm
13111;Gransanger, Sydlig (ssp. collybita);Alm
13113;Gransanger, Sibirisk (ssp. tristis);SUB
12910;Grøn Sanger;SU
12920;Østlig Lundsanger;SU
12930;Lundsanger;SUB
12950;Nordsanger;SU
12760;Havesanger;Alm
12770;Munk;Alm
12730;Høgesanger;SUB
12740;Gærdesanger;Alm
12742;Gærdesanger, Sibirisk (ssp. blythi);SU
12739;Gærdesanger, Steppe (ssp. halimodendri);SU
12747;Gærdesanger, Sibirisk/Steppe (ssp. blythi/halimodendri);SU
12700;Asiatisk Ørkensanger;SU
12750;Tornsanger;Alm
12610;Sardinsk Sanger;SU
12620;Provencesanger;SU
12690;Sortstrubet Sanger;SU
12670;Sorthovedet Sanger;SU
12655;Makisanger;SU
12656;Iberisk Sanger;SU
12654;Rødstrubet Sanger;SU
12651;Rødstrubet Sanger (ssp. cantillans);SU
12653;Rødstrubet Sanger (ssp. albistriata);SU
10480;Silkehale;Alm
13150;Rødtoppet Fuglekonge;Alm
13140;Fuglekonge;Alm
14790;Spætmejse;Alm
14793;Spætmejse, Mørkbuget (ssp. caesia);Alm
14791;Spætmejse, Lysbuget (ssp. europaea);Alm
14860;Træløber;Alm
14863;Træløber, Sydlig (ssp. macrodactyla);Alm
14861;Træløber, Nordlig (ssp. familiaris);Alm
14870;Korttået Træløber;Alm
10660;Gærdesmutte;Alm
10669;Gærdesmutte, Nordatlantisk (fridariensis/hirtensis/borealis);SU
15830;Ensfarvet Stær;SU
15820;Stær;Alm
15840;Rosenstær;SUB
33810;[Rødvinget Sortstær];Alm
10500;Vandstær;Alm
11700;Gulddrossel;SU
11770;Olivenskovdrossel;SU
11760;Eremitdrossel;SU
12020;Misteldrossel;Alm
12000;Sangdrossel;Alm
12010;Vindrossel;Alm
12012;Vindrossel, Islandsk (ssp. coburni);SUB
11870;Solsort;Alm
11980;Sjagger;Alm
11860;Ringdrossel;Alm
11972;Sortstrubet Drossel;SU
11962;Brundrossel;SU
11950;Gråstrubet Drossel;SU
12030;Vandredrossel;SU
13340;Brun Fluesnapper;SU
13350;Grå Fluesnapper;Alm
10990;Rødhals;Alm
11030;Nattergal;Alm
11040;Sydlig Nattergal;SUB
11060;Blåhals;Alm
11061;Blåhals, Nordlig (ssp. svecica);SUB
11062;Blåhals, Sydlig (ssp. cyanecula);Alm
11050;Rubinnattergal;SU
11020;Manchurernattergal;SU
13430;Lille Fluesnapper;SUB
13432;Tajgafluesnapper;SU
13480;Hvidhalset Fluesnapper;SUB
13490;Broget Fluesnapper;Alm
11130;Blåstjert;SU
11210;Husrødstjert;Alm
11215;Husrødstjert, Tien-Shan (ssp. phoenicuroides);SU
11220;Rødstjert;Alm
11620;Stendrossel;SU
11370;Bynkefugl;Alm
11399;Sibirisk Bynkefugl;SU
11397;Sibirisk Bynkefugl, Kaukasusbynkefugl (ssp. hemprichii);SU
11396;Sibirisk Bynkefugl, Steppebynkefugl (ssp. variegatus);SU
11392;Sibirisk Bynkefugl, Bjergbynkefugl (ssp. stejnegeri);SU
11394;Sibirisk Bynkefugl (ssp. maurus);SU
11390;Sortstrubet Bynkefugl;Alm
11393;Sortstrubet Bynkefugl, Atlantisk (ssp. hibernans);Alm
11391;Sortstrubet Bynkefugl, Europæisk (ssp. rubicola);Alm
11490;Ørkenstenpikker;SU
11481;Vestlig Middelhavsstenpikker;SU
11470;Nonnestenpikker;SU
11482;Østlig Middelhavsstenpikker;SU
11460;Stenpikker;Alm
11462;Stenpikker, Grønlandsk (ssp. leucorhoa);Alm
11461;Stenpikker (ssp. oenanthe);Alm
11440;Isabellastenpikker;SU
11570;Hvidkronet Stenpikker;SU
10940;Alpejernspurv;SU
10900;Sortstrubet Jernspurv;SU
10840;Jernspurv;Alm
