artsnavn;bemaerk_antal
Sortbrynet Albatros;1
Albatros sp.;1
Wilsons Stormsvale;1
Lille Stormsvale;1
Stor Stormsvale;1
Stormsvale sp.;1
Mallemuk;50
Madeira/Kap Verde/Desertas Petrel;1
Scopolis Skråpe;1
Atlantisk Skråpe;1
Atlantisk Skråpe/Scopolis Skråpe;1
Atlantisk/Scopolis/Storskråpe;1
Amerikansk Sølvmåge;1
Sodfarvet Skråpe;1
Storskråpe;1
Almindelig Skråpe;1
Middelhavsskråpe/Almindelig Skråpe;1
Middelhavsskråpe;1
Middelhavsskråpe, Balearisk (ssp. mauretanicus);1
Tropeskråpe;1
Skråpe sp.;1
Sort Stork;1
Hvid Stork;1
Stork sp.;1
Pragtfregatfugl;1
Sule;75
Brun Sule;1
Dværgskarv;1
Middelhavsskråpe, Ægæerskråpe (ssp. yelkouan);1
Topskarv;1
Makaronesisk Skråpe;1
Skarv;1000
Skarv, Storskarv (ssp. carbo);1000
Skarv, Mellemskarv (ssp. sinensis);1000
Skarv sp.;1
Sort Ibis;1
Eremitibis;1
Afrikansk Skestork;1
Skestork;1
Hellig Ibis;1
Hvid Pelikan;1
Rosapelikan;1
Krøltoppet Pelikan;1
Pelikan sp.;1
Rørdrum;3
Amerikansk Rørdrum;1
Dværghejre;1
Silkehejre;1
Nathejre;1
Tophejre;1
Sølvhejre;1
Kohejre;1
Hejre sp. (hvid);1
Purpurhejre;1
Fiskehejre;100
Hejre sp.;100
Natravn;3
Ørkennatravn;1
Tornhalesejler;1
Alpesejler;1
Orientsejler;1
Kaffersejler;1
Lille Sejler;1
Mursejler;100
Gråsejler;1
Sejler sp.;1
Slørugle;1
Slørugle, Hvidbrystet (ssp. alba);1
Slørugle, Mørkbrystet (ssp. guttata);1
Perleugle;1
Kirkeugle;1
Høgeugle;1
Spurveugle;1
Dværghornugle;1
Mosehornugle;1
Skovhornugle/Mosehornugle;1
Skovhornugle;2
Sneugle;1
Stor Hornugle;1
Natugle;2
Ugle sp.;1
Kalkungrib;1
Fiskeørn;1
Blå Glente;1
Lammegrib;1
Ådselgrib;1
Hvepsevåge;1
Tophvepsevåge;1
Munkegrib;1
Gåsegrib;1
Rüppells Grib;1
Grib sp.;1
Slangeørn;1
Stor Skrigeørn;1
Lille Skrigeørn/Stor Skrigeørn;1
Lille Skrigeørn;1
Dværgørn;1
Steppeørn;1
Kejserørn;1
Gråspætte;1
Kongeørn;1
Høgeørn;1
Ørn sp.;1
Spurvehøg;5
Duehøg;2
Duehøg, Russisk (ssp. buteoides);1
Høg sp.;1
Steppehøg;1
Blå Kærhøg;3
Amerikansk Kærhøg;1
Hedehøg;1
Blå Kærhøg x Steppehøg (hybrid);1
Steppehøg/Hedehøg;1
Rørhøg;5
Kærhøg sp.;5
Rød Glente;1
Sort Glente;1
Sort Glente, Gulnæbbet (ssp. parasitus);1
Sort Glente/Rød Glente;1
Sort Glente x Rød Glente (hybrid);1
Beringhavørn;1
Havørn;1
Hvidhovedet Havørn;1
Fjeldvåge;4
Musvåge;20
Musvåge, Steppevåge (ssp. vulpinus);1
Ørnevåge;1
Våge sp.;20
Hærfugl;1
Ellekrage;1
Biæder;1
Grøn Biæder;1
Isfugl;1
Vendehals;1
Grønspætte;3
Sortspætte;1
Guldspætte;1
Tretået Spætte;1
Mellemflagspætte;1
Stor Flagspætte;5
Stor Flagspætte, Nordlig (ssp. major);5
Stor Flagspætte, Sydlig (ssp. pinetorum);1
Stor Flagspætte x Hvidrygget Flagspætte (hybrid);1
Lille Flagspætte;1
Lille Flagspætte, Nordlig (ssp. minor);1
Lille Flagspætte, Sydlig (ssp. hortorum);1
Spætte sp.;10
Lille Tårnfalk;1
Tårnfalk;8
Amerikansk Tårnfalk;1
Aftenfalk;1
Dværgfalk;1
Eleonorafalk;1
Lærkefalk;1
Lærkefalk/Aftenfalk;1
Vandrefalk;1
Vandrefalk, Sibirisk (ssp. calidus);1
Lannerfalk;1
Jagtfalk;1
Slagfalk;1
Storfalk sp.;1
Falk sp.;10
Nymfeparakit;1
Munkeparakit;1
Soldaterara;1
Stor Alexanderparakit;1
Alexanderparakit;1
Undulat;1
Huskrage;1
Papegøje sp.;1
Rødøjet Vireo;1
Pirol;1
Stor Tornskade;2
Stor Tornskade, Ørkentornskade (ssp. pallidirostris);1
Rosenbrystet Tornskade;1
Rødhovedet Tornskade;1
Rødrygget Tornskade;5
Turkestantornskade;1
Langhalet Tornskade;1
Brun Tornskade;1
Tornskade sp.;1
Iberisk Blåskade;1
Skovskade;20
Husskade;20
Kalanderlærke;1
Nøddekrige;1
Nøddekrige, Tyknæbbet (ssp. caryocatactes);1
Nøddekrige, Tyndnæbbet (ssp. macrorhynchos);1
Sibirisk Allike;1
Allike;500
Allike, Almindelig (ssp. monedula);500
Allike, Vestlig (ssp. spermologus);1
Allike, Halsbåndsallike (ssp. soemmerringii);1
Råge;500
Broget Krage;1
Ravn;20
Kragefugl sp.;200
Krage;200
Krage, Sortkrage (ssp. corone);1
Krage, Gråkrage (ssp. cornix);200
Sortkrage x Gråkrage (hybrid);1
Pungmejse;1
Blåmejse;50
Musvit;20
Sortmejse;25
Topmejse;10
Sumpmejse;10
Fyrremejse;1
Fyrremejse, Pilemejse (ssp. salicarius);1
Fyrremejse, Nordlig (ssp. borealis);1
Sumpmejse/Fyrremejse;1
Mejse sp.;100
Skægmejse;35
Hedelærke;1
Sanglærke;200
Toplærke;1
Bjerglærke;50
Korttået Lærke;1
Østlig Kalanderlærke;1
Lærke sp.;200
